config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,food_insecurity_share,grocery_share,avg_dist_car,avg_dist_nocar,total_trips
1873,3.0,0.5,2.2,0.4,7.0,6.0,14.0,0.19965592821916697,2790.613399874857,4254.520556460515,12077.843411586677,0.27684322515642396,0.37,0.6088508914990042,2.700063745681677,0.5769410147539722,1429.5
1874,3.0,0.5,2.2,0.4,7.0,7.0,14.0,0.2056099194497266,2841.853449466089,4126.174866893488,12219.304240343601,0.2725729909802319,0.37,0.6113427359794158,2.701287292613518,0.5719516217741278,1405.5
1875,3.0,0.5,2.2,0.4,7.0,8.0,14.0,0.20927090773042334,2763.7635167167496,4118.368345759731,12129.284943053324,0.27597183960820326,0.37,0.6046311600857055,2.6775136717898107,0.5802832470176083,1401.0
1876,3.0,0.5,2.6,0.4,3.0,6.0,14.0,0.1612719727975535,4187.622010384367,4246.6330944904785,12214.164929815302,0.28630193151572586,0.365,0.597652778862451,2.6653986051205814,0.5866033144612248,1947.0
1877,3.0,0.5,2.6,0.4,3.0,7.0,14.0,0.16590957464999376,4253.374092148297,4175.361024727608,12121.454292031536,0.28600394372402527,0.36,0.5999066454973578,2.6737100339418722,0.5823852806392876,1929.5
1878,3.0,0.5,2.6,0.4,3.0,8.0,14.0,0.16672306993911135,4231.581118662723,4116.492330964272,12114.84187836292,0.2874602802521227,0.36,0.6023532322758764,2.6682414272702006,0.5876678812116629,1920.0
1879,3.0,0.5,2.6,0.4,4.0,6.0,14.0,0.1443311913873593,3584.626028437744,4158.9811282380815,12101.86738167242,0.2756892763333638,0.36,0.6076632237392643,2.697984989747515,0.5805860422788841,1680.5
1880,3.0,0.5,2.6,0.4,4.0,7.0,14.0,0.14680413379977247,3554.204315381742,4153.028383546553,12286.35098085921,0.26915298680466526,0.355,0.6149809148179655,2.708790118526401,0.5804492656868487,1660.0
1881,3.0,0.5,2.6,0.4,4.0,8.0,14.0,0.1528397376001771,3484.3574424396065,4090.6592160837254,12397.758499568796,0.2725335819949584,0.355,0.6101766092738883,2.708591333924006,0.5823918592043094,1650.0
1882,3.0,0.5,2.6,0.4,5.0,6.0,14.0,0.17882965940563425,3088.1607420099685,4249.555520865507,12060.765531117459,0.26583856209480256,0.36,0.6153553959303999,2.7214409477719075,0.5805355007889743,1542.5
1883,3.0,0.5,2.6,0.4,5.0,7.0,14.0,0.18285196481684635,3150.680578326478,4142.28468153112,12263.177916849369,0.26164099839532806,0.36,0.6186267204868873,2.718821870581051,0.5786438001098233,1522.0
1884,3.0,0.5,2.6,0.4,5.0,8.0,14.0,0.18381384269423884,3137.4755953714393,4111.329477299458,12282.000220660007,0.2643039451390196,0.36,0.6178356824754104,2.724782781817768,0.5787838385082071,1507.0
1885,3.0,0.5,2.6,0.4,6.0,6.0,14.0,0.19893446127640563,2863.741371083568,4227.564577820474,12085.870031877315,0.26582958390010814,0.365,0.6166928255031217,2.728182780322021,0.5796538234705567,1467.0
1886,3.0,0.5,2.6,0.4,6.0,7.0,14.0,0.20552067195688184,2909.77361273062,4103.833293064085,12089.074688271608,0.26067243898280124,0.365,0.6276274792475643,2.727231888692385,0.5807422616318637,1437.5
1887,3.0,0.5,2.6,0.4,6.0,8.0,14.0,0.19553141823349623,2942.3206014645643,4197.11169680756,12197.740680658902,0.25901772932923484,0.36,0.622127218953556,2.720997664482059,0.5779100448077468,1437.0
1888,3.0,0.5,2.6,0.4,7.0,6.0,14.0,0.20715679689128957,2798.2596025833227,4213.400328027678,12137.730879244951,0.25434478056524884,0.36,0.6241143426388758,2.7303793778517367,0.575905377603114,1427.5
