alpha_distance,gamma_quality,threshold_low,total_error,annual_spend_low,annual_spend_low_std,annual_spend_medium,annual_spend_medium_std,annual_spend_high,annual_spend_high_std,weekly_share,weekly_share_std,subweekly_share,subweekly_share_std,distance_car_mi,distance_car_mi_std,distance_no_car_mi,distance_no_car_mi_std,small_store_share,small_store_share_std,pantry_user_share,pantry_user_share_std,error_spend_low,error_spend_medium,error_spend_high,error_weekly_freq,error_subweekly_freq,error_distance_car,error_distance_no_car,error_small_store,pass_spend_low,pass_spend_medium,pass_spend_high,pass_weekly_freq,pass_subweekly_freq,pass_distance_car,pass_distance_no_car,pass_small_store,all_pass
1.2,0.6,2.5,3.76307876363377,4184.510543764317,0.0,9444.960037842702,0.0,24913.39717542555,0.0,0.3333333333333333,0.0,0.6111111111111112,0.0,1.8363043221759765,0.0,0.6609430698936936,0.0,0.11485642946317104,0.0,0.26,0.0,0.20597522888722639,0.05072422269915476,0.46583885475556314,0.16666666666666677,1.7777777777777781,0.45991049347765395,0.33905693010630644,0.2971285892634207,False,True,False,True,False,False,False,True,False
1.0,0.8,3.0,3.8005271289034672,4517.852885464461,0.0,9380.182764794643,0.0,24724.780293390322,0.0,0.3333333333333333,0.0,0.6111111111111112,0.0,1.927128282788724,0.0,0.6562986122993882,0.0,0.056179775280898875,0.0,0.26,0.0,0.14272241262533947,0.04351794023747279,0.45474113281891754,0.16666666666666677,1.7777777777777781,0.43319756388566943,0.34370138770061176,0.4382022471910113,True,True,False,True,False,False,False,True,False
0.8,0.6,3.0,3.8810142017830342,4577.834911396241,0.0,9525.868014574287,0.0,24738.958186312637,0.0,0.3333333333333333,0.0,0.6111111111111112,0.0,1.9335730271447822,0.0,0.6562986122993882,0.0,0.048507462686567165,0.0,0.24,0.0,0.13134062402348362,0.059724998840169914,0.4555753228002257,0.16666666666666677,1.7777777777777781,0.4313020508397699,0.34370138770061176,0.5149253731343284,True,True,False,True,False,False,False,False,False
1.2,0.8,2.0,4.003327183074548,6306.1189038873335,0.0,9372.370470080603,0.0,24362.11801002611,0.0,0.3888888888888889,0.0,0.6111111111111112,0.0,1.8168904312123215,0.0,0.6642431269472889,0.0,0.13618677042801555,0.0,0.24,0.0,0.19660700263516764,0.04264884526427889,0.43340303659838264,0.027777777777777818,1.7777777777777781,0.46562046140814073,0.33575687305271107,0.7237354085603109,False,True,False,True,False,False,False,False,False
0.8,0.8,2.0,4.025253388918833,6894.248454759649,0.0,9442.698138353897,0.0,27185.061258301885,0.0,0.4166666666666667,0.0,0.5833333333333334,0.0,1.9756697306246254,0.0,0.6685779540353073,0.0,0.037644787644787646,0.0,0.24,0.0,0.3082065379050567,0.05047259298630514,0.599497602865491,0.04166666666666666,1.6515151515151518,0.41892066746334544,0.3314220459646927,0.6235521235521235,False,True,False,True,False,False,False,False,False
1.2,0.4,3.0,4.124232686012686,4197.097806281357,0.0,8836.399754637314,0.0,24057.865989857197,0.0,0.3333333333333333,0.0,0.6111111111111112,0.0,1.8110253816947728,0.0,0.6623154342844502,0.0,0.13693467336683418,0.0,0.26,0.0,0.20358675402630788,0.016976331667892548,0.4155016468496821,0.16666666666666677,1.7777777777777781,0.4673454759721256,0.33768456571554983,0.7386934673366835,False,True,False,True,False,False,False,False,False
1.0,0.4,2.5,4.15596728707656,4169.004229497595,0.0,9187.734220168497,0.0,25724.406346147454,0.0,0.3333333333333333,0.0,0.6111111111111112,0.0,1.814948353149304,0.0,0.6609430698936936,0.0,0.13308457711442787,0.0,0.26,0.0,0.20891760351089286,0.022108601642952152,0.5135565042449667,0.16666666666666677,1.7777777777777781,0.46619166083844,0.33905693010630644,0.6616915422885572,False,True,False,True,False,False,False,False,False
1.0,0.4,3.0,4.18577117124449,4214.004363349883,0.0,9139.57767494,0.0,24750.855799665223,0.0,0.3055555555555556,0.0,0.6388888888888888,0.0,1.8204320121566926,0.0,0.6609430698936936,0.0,0.128428927680798,0.0,0.26,0.0,0.20037867868123668,0.01675132661475128,0.45627534712080625,0.2361111111111111,1.904040404040404,0.4645788199539139,0.33905693010630644,0.5685785536159599,False,True,False,True,False,False,False,False,False
0.8,0.8,2.5,4.193262201980473,4589.3640315044395,0.0,9250.30550166903,0.0,27605.365680338953,0.0,0.3333333333333333,0.0,0.6111111111111112,0.0,1.992079551666303,0.0,0.6609430698936936,0.0,0.028678304239401497,0.0,0.28,0.0,0.12915293519839857,0.029069473986987483,0.6242272111284393,0.16666666666666677,1.7777777777777781,0.41409424950991086,0.33905693010630644,0.713216957605985,True,True,False,True,False,False,False,False,False
0.8,0.8,3.0,4.21963436612941,4610.503560705308,0.0,9385.45182890462,0.0,27606.36218336409,0.0,0.3333333333333333,0.0,0.6111111111111112,0.0,1.9836483863945351,0.0,0.6609430698936936,0.0,0.0273972602739726,0.0,0.22,0.0,0.1251416393348562,0.04410410823279776,0.6242858427491227,0.16666666666666677,1.7777777777777781,0.4165740040016073,0.33905693010630644,0.726027397260274,True,True,False,True,False,False,False,False,False
1.2,0.4,2.5,4.274874439018153,4169.364660528313,0.0,8915.753495185982,0.0,24289.70081852,0.0,0.3333333333333333,0.0,0.6111111111111112,0.0,1.804794797448467,0.0,0.6562986122993882,0.0,0.14357053682896379,0.0,0.28,0.0,0.20884921052593683,0.008148459763490757,0.42914219925394204,0.16666666666666677,1.7777777777777781,0.46917800075045085,0.34370138770061176,0.8714107365792756,False,True,False,True,False,False,False,False,False
1.0,0.6,2.0,4.308125310686348,6271.121459417191,0.0,9537.200808044096,0.0,25144.03753102362,0.0,0.3888888888888889,0.0,0.6111111111111112,0.0,1.8094332556427861,0.0,0.6685779540353073,0.0,0.14864864864864866,0.0,0.28,0.0,0.18996612133153523,0.06098573901925637,0.47940912750197806,0.027777777777777818,1.7777777777777781,0.467813748340357,0.3314220459646927,0.972972972972973,False,True,False,True,False,False,False,False,False
0.8,0.4,2.0,4.3311132345878365,6247.261749598429,0.0,9428.449167146351,0.0,24826.225727931338,0.0,0.3888888888888889,0.0,0.6111111111111112,0.0,1.8068394760278368,0.0,0.6642431269472889,0.0,0.1513094083414161,0.0,0.28,0.0,0.18543866216288968,0.048887436549822125,0.46070991574084125,0.027777777777777818,1.7777777777777781,0.46857662469769507,0.33575687305271107,1.0261881668283217,False,True,False,True,False,False,False,False,False
1.2,0.6,2.0,4.891364624192297,5998.602880850269,0.0,9553.720647424085,0.0,25167.35029468235,0.0,0.3888888888888889,0.0,0.6111111111111112,0.0,1.7685828728505715,0.0,0.6685779540353073,0.0,0.17963496637848222,0.0,0.26,0.0,0.13825481610062026,0.06282352290845308,0.4807807892846758,0.027777777777777818,1.7777777777777781,0.47982856680865543,0.3314220459646927,1.5926993275696444,True,True,False,True,False,False,False,False,False
1.0,0.4,2.0,5.092905063297348,5967.237481666837,0.0,9298.328460551456,0.0,24173.760091394128,0.0,0.3888888888888889,0.0,0.6111111111111112,0.0,1.7649278448187489,0.0,0.6698588274666801,0.0,0.19436345966958213,0.0,0.3,0.0,0.13230312745101272,0.03441188792429151,0.4223205513882165,0.027777777777777818,1.7777777777777781,0.48090357505330916,0.33014117253331987,1.8872691933916423,True,True,False,True,False,False,False,False,False
1.2,0.4,2.0,5.611534361007578,5981.981354731828,0.0,8984.338991017694,0.0,25319.507158271663,0.0,0.3611111111111111,0.0,0.6388888888888888,0.0,1.7376895228776161,0.0,0.6698588274666801,0.0,0.20829315332690454,0.0,0.3,0.0,0.13510082632482506,0.0005185236380360615,0.48973329949821504,0.0972222222222223,1.904040404040404,0.48891484621246584,0.33014117253331987,2.1658630665380905,True,True,False,True,False,False,False,False,False
