config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,food_insecurity_share,grocery_share,avg_dist_car,avg_dist_nocar,total_trips
22,1.0,0.9,1.4,0.4,5.0,8.0,14.0,0.19656036755438905,3234.4830575449605,4337.993399208642,11977.578618083662,0.19879518072289157,0.35,0.7550200803212851,2.8496556525118057,0.5235625141098003,498.0
23,1.0,0.9,1.4,0.4,7.0,6.0,14.0,0.2022149498399363,2961.831008782027,4350.205056210787,11381.215006541628,0.21908893709327548,0.35,0.7331887201735358,2.836700741659022,0.5143051540751629,461.0
24,1.0,0.9,1.4,0.4,7.0,8.0,14.0,0.20317519701259104,3080.681848429839,4423.767453518737,12387.829211392074,0.19739696312364424,0.35,0.7310195227765727,2.7858082970699978,0.5087374931316373,461.0
25,1.0,0.9,2.2,0.4,5.0,6.0,14.0,0.19213607154589168,3315.5035720771484,4391.765774977999,13573.980588684477,0.1794871794871795,0.34,0.727810650887574,2.8699045429818244,0.5141376198185091,507.0
26,1.0,0.9,2.2,0.4,5.0,8.0,14.0,0.21026574317373023,3234.5377741910834,4155.576201886795,12801.458221103565,0.17943548387096775,0.34,0.7439516129032258,2.9071954917396967,0.5075479817576093,496.0
27,1.0,0.9,2.2,0.4,7.0,6.0,14.0,0.21516435857242858,3014.4759455644994,4403.847268205068,13056.984156367767,0.17381974248927037,0.34,0.7317596566523605,2.928120466105412,0.5048802597838717,466.0
28,1.0,0.9,2.2,0.4,7.0,8.0,14.0,0.21856347910981166,3083.201888160552,4136.217859858863,13770.103373482241,0.1843817787418655,0.34,0.737527114967462,2.8974422303139447,0.5087374931316373,461.0
29,1.0,0.9,2.6,0.4,5.0,6.0,14.0,0.19484412473177676,3268.520655031862,4354.256743287024,12077.277452923405,0.18363273453093812,0.34,0.7485029940119761,2.8922656800451114,0.5141376198185091,501.0
30,1.0,0.9,2.6,0.4,5.0,8.0,14.0,0.19917469835397797,3255.4933078795584,4320.207312303716,12771.530080090917,0.18089430894308944,0.34,0.7479674796747967,2.939760708018893,0.514137619818509,492.0
31,1.0,0.9,2.6,0.4,7.0,6.0,14.0,0.19863726724200315,3100.3571058535153,4511.209855477798,13575.404412887876,0.18220338983050846,0.34,0.7627118644067796,2.899055922308945,0.5087374931316373,472.0
32,1.0,0.9,2.6,0.4,7.0,8.0,14.0,0.2292260668926674,2993.081370433504,4177.711986962178,12654.612479179757,0.1729490022172949,0.34,0.7361419068736141,2.9006373642851386,0.5132960416335421,451.0
33,1.0,1.3,0.6,0.4,5.0,6.0,14.0,0.16024827424671226,3242.247650764533,4459.286334189003,12297.78772446189,0.24801587301587302,0.35,0.7103174603174603,2.7145593653380247,0.5141376198185091,504.0
34,1.0,1.3,0.6,0.4,5.0,8.0,14.0,0.17239624762372854,3177.590050063119,4314.292484505422,11391.58596564086,0.24796747967479674,0.35,0.6951219512195121,2.6833405663074723,0.5235625141098001,492.0
35,1.0,1.3,0.6,0.4,7.0,6.0,14.0,0.1814632634913393,2911.288267351105,4493.3652572988385,11592.594311433211,0.24680851063829787,0.35,0.7,2.732105119953139,0.5148999735099182,470.0
36,1.0,1.3,0.6,0.4,7.0,8.0,14.0,0.18707049747730933,3012.9856538547187,4377.035544072887,12240.569869866165,0.2363238512035011,0.35,0.7111597374179431,2.772224712143759,0.5048802597838717,457.0
